label,Indiv_id_case_id,id,RULE_TOT_INC_AMT,RULE_AID_REQUEST_SW,RULE_ACTIVE_IN_CASE_SW,US_CITIZEN_SW,RULE_RESIDENCY_STATE_CD,PROG_CD,Unnamed: 9,x-tsne,y-tsne
45,775024350_304191,0,1,1,1,1,1,1,6,0.11478066444396973,4.755552291870117
46,775024350_304191,1,1,1,1,1,0,1,6,-7.532522201538086,7.144006252288818
47,775024350_304191,1,1,1,1,1,0,1,6,-7.112026214599609,4.8058762550354
48,775024350_304191,1,0,1,1,1,1,1,6,-1.9910073280334473,4.988286972045898
49,775024350_304191,1,1,1,1,1,1,1,7,-22.53084945678711,17.820724487304688
50,775024350_304191,0,0,1,1,1,1,1,5,-10.322957038879395,13.444525718688965
51,775024350_304191,1,1,1,1,1,0,1,6,-13.149463653564453,4.835543155670166
52,775024350_304191,1,1,1,1,1,0,1,6,-6.095908164978027,3.0533883571624756
53,775024350_304191,1,1,1,1,1,1,1,7,-4.204875946044922,3.5360448360443115
54,775024350_304191,1,0,1,1,1,1,1,6,-5.529214382171631,8.248893737792969
55,775024350_304191,0,0,1,1,1,1,1,5,-7.260269641876221,2.4784321784973145
56,775024350_304191,1,1,1,1,1,0,1,6,0.514955997467041,-10.867959976196289
57,775024350_304191,1,1,1,1,1,0,1,6,-12.485955238342285,4.482065200805664
58,775024350_304191,1,1,1,1,1,1,1,7,-8.667004585266113,4.489176273345947
59,775024350_304191,1,1,1,1,1,1,1,7,-10.11103630065918,2.0919222831726074
60,775024350_304191,0,1,1,1,1,1,1,6,-8.947612762451172,-0.0744929313659668
61,775024350_304191,1,1,1,1,1,0,1,6,-8.092378616333008,6.913018703460693
62,775024350_304191,1,1,1,1,1,1,1,7,-6.389208793640137,-2.4843297004699707
63,775024350_304191,1,1,1,1,1,1,1,7,-6.468813419342041,3.591249465942383
64,775024350_304191,1,1,0,0,1,0,1,4,-7.817974090576172,6.401719093322754
